City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Hoopstad,ZA,-27.8327,25.9083,82.42,28,0,9.91
164,Uva,RU,56.9908,52.1852,36.93,99,100,5.59
165,Guanica,PR,17.9716,-66.908,76.05,84,57,6.93
166,Avera,US,33.194,-82.5271,60.39,71,100,18.1
167,Santa Cruz,BO,-17.8,-63.1667,72.86,88,37,8.05
168,Fernie,CA,49.5,-115.0687,7.0,99,25,3.76
169,Willmar,US,45.1219,-95.0433,46.42,95,100,14.97
170,Takoradi,GH,4.8845,-1.7554,82.11,76,93,9.44
171,Krasnyy Chikoy,RU,50.3643,108.7512,26.94,95,100,4.72
172,Ca Mau,VN,9.1769,105.15,83.8,77,98,9.06
173,Goundam,ML,16.4145,-3.6708,81.88,10,3,5.28
174,Jutai,BR,-5.1833,-68.9,72.14,91,100,2.37
175,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.86,91,60,8.41
176,Salalah,OM,17.0151,54.0924,87.89,45,0,6.91
177,Darnah,LY,32.767,22.6367,69.26,58,0,10.98
178,Srednekolymsk,RU,67.45,153.6833,-1.75,98,100,3.85
179,Luderitz,NA,-26.6481,15.1594,71.1,52,91,18.23
180,Hithadhoo,MV,-0.6,73.0833,81.82,74,100,12.82
181,Hermanus,ZA,-34.4187,19.2345,71.8,49,2,15.1
182,Hilo,US,19.7297,-155.09,70.25,89,75,6.91
183,Fontem,CM,5.4685,9.8818,77.4,63,57,3.42
184,Voh,NC,-20.9667,164.7,71.83,82,85,8.52
185,Faanui,PF,-16.4833,-151.75,79.52,78,8,11.86
186,Ghugus,IN,19.9333,79.1333,84.72,36,75,9.33
187,Brokopondo,SR,4.75,-55.1667,75.15,92,70,7.16
188,Itarema,BR,-2.9248,-39.9167,79.25,76,99,11.83
189,Conchas,BR,-23.0153,-48.0106,58.39,85,18,5.44
190,Ostrovnoy,RU,68.0531,39.5131,35.44,95,100,7.4
191,Longyearbyen,SJ,78.2186,15.6401,21.04,73,20,8.05
192,Thessalon,CA,46.2501,-83.5666,52.09,93,91,3.22
193,San Ramon,US,37.7799,-121.978,48.52,88,0,3.44
194,Tongzi,CN,28.7829,105.0877,73.0,62,64,6.44
195,Lompoc,US,34.6391,-120.4579,47.52,83,0,6.91
196,Mumford,GH,5.2618,-0.759,81.43,79,82,9.71
197,Xingyi,CN,24.1877,102.817,68.05,49,5,6.06
198,Osoyoos,CA,49.0331,-119.4524,27.01,68,6,3.44
199,Perth,AU,-31.9333,115.8333,68.18,81,75,17.27
200,Yei,SS,4.095,30.6779,75.52,80,94,2.53
201,Kavaratti,IN,10.5669,72.642,83.28,66,35,10.4
202,Una,IN,20.8167,71.0333,88.84,38,4,11.61
203,Thompson,CA,55.7435,-97.8558,-5.64,84,0,2.3
204,Olinda,BR,-8.0089,-34.8553,76.73,78,40,2.3
205,Bandarbeyla,SO,9.4942,50.8122,82.87,69,18,17.2
206,Anchorage,US,61.2181,-149.9003,34.68,87,100,4.61
207,General Roca,AR,-39.0333,-67.5833,56.62,52,87,21.18
208,Sola,VU,-13.8833,167.55,81.45,79,40,14.34
209,Broome,US,42.2506,-75.833,41.97,78,0,6.91
210,Kodinsk,RU,58.6881,99.1844,24.06,87,100,8.46
211,Naron,ES,43.5167,-8.1528,62.02,84,100,4.47
212,Micheweni,TZ,-4.9667,39.8333,83.39,71,73,7.52
213,Naranjal,EC,-2.6667,-79.6167,71.4,88,100,1.63
214,Tocache,PE,-8.1842,-76.5125,67.91,99,63,0.45
215,Amapa,BR,1.0,-52.0,70.16,100,85,0.89
216,Saint Simons,US,31.1352,-81.3901,66.24,92,100,28.77
217,Manyoni,TZ,-5.7467,34.8382,84.74,34,100,8.81
218,Rawson,AR,-43.3002,-65.1023,64.72,70,100,8.59
219,Port Hedland,AU,-20.3167,118.5667,80.65,54,0,21.85
220,Tazovskiy,RU,67.4667,78.7,0.81,94,98,9.69
221,Vostok,RU,46.4856,135.8833,23.13,54,0,7.96
222,Lebyazhye,RU,55.2689,66.4947,32.77,99,100,11.61
223,Glushkovo,RU,51.3392,34.6328,45.64,72,100,11.43
224,Cherskiy,RU,68.75,161.3,-1.26,98,100,4.65
225,Butterworth,MY,5.3991,100.3638,80.64,93,40,11.5
226,Karwar,IN,14.8,74.1333,87.75,48,63,6.67
227,Coahuayana,MX,18.7333,-103.6833,73.69,95,28,1.9
228,Touros,BR,-5.1989,-35.4608,79.02,69,97,12.06
229,Carnarvon,AU,-24.8667,113.6333,70.3,57,0,18.32
230,Codrington,AU,-38.2667,141.9667,60.31,94,89,6.64
231,Umm Lajj,SA,25.0213,37.2685,80.15,43,0,12.88
232,Cap Malheureux,MU,-19.9842,57.6142,81.46,56,8,10.0
233,Haines Junction,CA,60.7522,-137.5108,10.35,92,100,2.3
234,Bilibino,RU,68.0546,166.4372,-2.74,99,100,1.23
235,Taungdwingyi,MM,20.0167,95.55,87.71,44,9,6.2
236,Yenagoa,NG,4.9247,6.2642,84.13,72,92,4.79
237,Laguna,US,38.421,-121.4238,46.06,90,0,5.75
238,Pisz,PL,53.6274,21.8125,50.0,88,100,8.43
239,Pochutla,MX,15.7432,-96.4661,72.82,85,0,4.23
240,Liwale,TZ,-9.7667,37.9333,92.7,34,35,8.3
241,Ponta Do Sol,PT,32.6667,-17.1,69.71,78,48,2.46
242,Husavik,IS,66.0449,-17.3389,41.74,98,100,14.94
243,Port Hardy,CA,50.6996,-127.4199,35.78,87,75,4.61
244,Laguna De Perlas,NI,12.3429,-83.6712,74.86,90,51,7.56
245,Hasaki,JP,35.7333,140.8333,61.21,56,47,8.39
246,Pontes E Lacerda,BR,-15.2261,-59.3353,69.85,47,12,1.97
247,Kuching,MY,1.55,110.3333,80.22,89,40,8.99
248,Inirida,CO,3.8653,-67.9239,71.85,99,99,0.16
249,Muncar,ID,-8.4333,114.3333,81.72,81,73,2.8
250,Mecca,SA,21.4267,39.8261,90.36,34,5,11.23
251,Atel,RO,46.15,24.4667,42.03,58,8,1.43
252,Lagoa,PT,39.05,-27.9833,67.93,87,100,39.06
253,Duvan,RU,55.695,57.9024,33.22,98,100,10.29
254,Saint-Joseph,RE,-21.3667,55.6167,79.18,72,94,8.9
255,San Vicente,AR,-26.6167,-54.1333,54.19,78,19,3.15
256,Spasskoye,RU,44.6108,132.7969,34.7,50,1,2.95
257,Borogontsy,RU,62.6683,131.1683,-5.33,98,99,5.7
258,Sorland,NO,67.667,12.6934,39.06,75,75,5.75
259,Bundaberg,AU,-24.85,152.35,69.22,74,89,3.0
260,Kongoussi,BF,13.3258,-1.5347,85.48,13,53,8.93
261,Brae,GB,60.3964,-1.353,54.5,87,100,28.57
262,Coihaique,CL,-45.5752,-72.0662,48.15,81,0,2.3
263,Faya,SA,18.3851,42.4509,72.12,38,1,6.87
264,Surt,LY,31.2089,16.5887,69.17,64,28,1.01
265,Yerazgavors,AM,40.7,43.75,52.57,40,20,1.14
266,Terra Santa,BR,-2.1042,-56.4869,72.79,94,50,3.58
267,Pokrovsk,UA,48.282,37.1758,47.61,61,39,7.45
268,Talnakh,RU,69.4865,88.3972,7.21,100,100,6.76
269,Ondangwa,NA,-17.9167,15.95,83.1,15,4,8.03
270,Mercedes,AR,-34.6515,-59.4307,60.64,81,2,8.5
271,Portland,US,45.5234,-122.6762,40.8,91,20,3.0
272,Ust-Tarka,RU,55.5672,75.705,30.83,90,100,12.55
273,Kiruna,SE,67.8557,20.2251,22.12,93,100,0.0
274,Strathmore,CA,51.0501,-113.3852,-0.99,84,24,6.91
275,Chaman,PK,30.9236,66.4512,65.62,30,1,7.96
276,Batsfjord,NO,70.6345,29.7185,35.53,86,75,10.36
277,Concordia,AR,-31.393,-58.0209,60.78,81,95,8.01
278,Port Lincoln,AU,-34.7333,135.8667,61.36,76,81,12.62
279,Parakou,BJ,9.3372,2.6303,85.19,50,75,3.71
280,Ilulissat,GL,69.2167,-51.1,12.22,57,100,5.75
281,Mosquera,CO,4.7059,-74.2302,53.69,94,75,4.61
282,Provideniya,RU,64.3833,-173.3,23.99,83,99,2.28
283,Port Blair,IN,11.6667,92.75,83.35,70,63,9.89
284,Sabinas,MX,27.85,-101.1167,69.31,86,43,11.88
285,Pisco,PE,-13.7,-76.2167,64.45,68,75,3.44
286,Nioro,GM,13.35,-15.75,79.34,56,10,2.48
287,Beringovskiy,RU,63.05,179.3167,11.46,97,91,6.22
288,Birjand,IR,32.8663,59.2211,68.47,22,20,11.5
289,Hambantota,LK,6.1241,81.1185,84.54,84,75,10.36
290,Plettenberg Bay,ZA,-34.0527,23.3716,65.19,66,63,16.46
291,Maykor,RU,59.0059,55.88,36.57,99,100,4.99
292,Bonito,BR,-21.1211,-56.4819,66.85,56,29,2.46
293,Pecos,US,31.4229,-103.4932,65.3,94,0,4.61
294,Inverness,GB,57.4791,-4.224,58.91,81,40,24.16
295,Rocha,UY,-34.4833,-54.3333,54.41,98,100,4.88
296,Niksar,TR,40.5917,36.9517,55.15,69,79,2.89
297,Richards Bay,ZA,-28.783,32.0377,68.29,88,99,8.23
298,Hokitika,NZ,-42.7167,170.9667,58.33,76,0,5.03
299,Zavallya,UA,48.2135,30.0156,52.29,62,74,11.48
300,Saravena,CO,6.9538,-71.8752,70.54,94,100,2.37
301,Hamilton,US,39.1834,-84.5333,56.21,45,0,5.75
302,Upernavik,GL,72.7868,-56.1549,8.73,74,100,2.98
303,Shizunai,JP,42.3339,142.3669,45.32,59,19,18.1
304,Chenove,FR,47.2932,5.0046,49.15,100,100,3.44
305,Shache,CN,38.4167,77.2406,53.33,24,5,5.01
306,Saint-Augustin,CA,51.226,-58.6502,31.73,39,100,14.14
307,Barguzin,RU,53.6167,109.6167,21.6,91,100,2.82
308,Lagoa Santa,BR,-19.6272,-43.8897,67.17,77,40,8.05
309,Beipiao,CN,41.7919,120.7792,50.52,33,0,4.34
310,Shaoyang,CN,27.2315,111.4525,84.15,35,39,3.11
311,Sinnamary,GF,5.3833,-52.95,76.93,89,98,6.87
312,Bariri,BR,-22.0744,-48.7403,63.95,78,0,4.81
313,Krasnoarmeysk,RU,51.0239,45.6969,42.4,77,93,10.16
314,Umm Kaddadah,SD,13.6017,26.6876,82.04,17,2,14.36
315,Ostersund,SE,63.1792,14.6357,32.45,100,85,3.44
316,Saldanha,ZA,-33.0117,17.9442,75.25,60,0,10.51
317,Solnechnyy,RU,50.7214,136.6319,25.75,41,0,8.75
318,Colinas,BR,-6.0258,-44.2492,71.37,89,74,1.66
319,Saryg-Sep,RU,51.5,95.6,22.41,85,92,2.91
320,Ewa Beach,US,21.3156,-158.0072,76.98,69,0,10.36
321,Almaty,KZ,43.25,76.95,42.71,53,7,6.71
322,Bulawayo,ZW,-20.15,28.5833,83.3,34,41,5.08
323,Leh,IN,34.1667,77.5833,33.35,37,100,6.2
324,Maun,BW,-19.9833,23.4167,87.76,40,0,14.97
325,Leningradskiy,RU,69.3833,178.4167,0.0,85,100,4.05
326,Fort Nelson,CA,58.8053,-122.7002,-2.06,89,0,5.01
327,Great Yarmouth,GB,52.6083,1.7305,54.25,86,37,19.26
328,Amli,IN,20.2833,73.0167,91.45,29,3,4.07
329,Dodoma,TZ,-6.1722,35.7395,85.41,34,21,9.82
330,Igrim,RU,63.1906,64.4162,22.39,92,100,3.15
331,Ayala,MX,18.75,-98.9833,69.31,71,73,0.92
332,Gulabpura,IN,25.9,74.6667,86.09,23,1,3.67
333,Chizhou,CN,30.6578,117.4831,77.07,47,0,6.31
334,Fort Smith,US,35.3859,-94.3986,67.33,91,75,6.91
335,Porto Walter,BR,-8.2686,-72.7439,72.52,78,12,1.45
336,Bull Savanna,JM,17.8868,-77.5902,72.19,78,7,2.19
337,Banfora,BF,10.6333,-4.7667,83.88,26,41,1.1
338,Raul Soares,BR,-20.1022,-42.4519,67.77,90,26,0.74
339,Yerbogachen,RU,61.2767,108.0108,20.61,88,100,12.53
340,Herat,AF,34.5,62.0,59.31,33,31,4.36
341,Plouzane,FR,48.3833,-4.6167,55.45,94,75,11.5
342,Oranjemund,NA,-28.55,16.4333,65.44,66,60,16.13
343,Linqing,CN,36.8456,115.7117,64.78,62,84,6.44
344,Anacortes,US,48.5126,-122.6127,43.09,80,100,9.22
345,Victoria,HK,22.2855,114.1577,83.17,77,0,5.01
346,Totoral,PE,-17.4053,-70.365,54.07,47,0,1.92
347,Nome,US,64.5011,-165.4064,30.27,86,100,10.36
348,Careiro Da Varzea,BR,-3.2003,-59.8119,83.01,83,98,3.51
349,Xining,CN,36.6167,101.7667,53.58,39,5,8.1
350,Ayni,TJ,39.3941,68.5377,44.96,52,0,3.91
351,Kropotkin,RU,45.4375,40.5756,55.13,56,5,11.59
352,Lorengau,PG,-2.0226,147.2712,82.15,75,100,6.55
353,Severomuysk,RU,56.1481,113.4267,-6.66,99,45,4.36
354,Enid,US,36.3956,-97.8784,69.08,79,0,24.16
355,Pechory,RU,57.8164,27.6119,47.66,93,100,6.67
356,Emerald,AU,-23.5333,148.1667,76.33,44,23,6.11
357,Mayo,US,38.8876,-76.5119,51.75,91,40,3.44
358,Taltal,CL,-25.4,-70.4833,58.6,77,1,1.66
359,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,27.63,62,100,24.09
360,Nabire,ID,-3.3667,135.4833,79.39,89,97,4.27
361,Kathmandu,NP,27.7167,85.3167,71.82,43,40,10.36
362,Birao,CF,10.2849,22.7882,91.33,15,2,11.03
363,Tiruchchendur,IN,8.4833,78.1167,89.89,67,96,12.75
364,Fecamp,FR,49.7579,0.3746,52.68,88,9,15.59
365,Nouadhibou,MR,20.931,-17.0347,64.38,94,100,9.22
366,Evensk,RU,61.95,159.2333,3.18,84,81,12.01
367,Kalabo,ZM,-14.97,22.6814,84.25,42,90,8.16
368,Havoysund,NO,70.9963,24.6622,34.03,80,18,13.4
369,Oussouye,SN,12.485,-16.5469,77.09,66,6,2.48
370,Hamina,FI,60.5697,27.1979,49.28,95,99,13.98
371,Yar-Sale,RU,66.8333,70.8333,2.23,90,59,7.99
372,Sao Filipe,CV,14.8961,-24.4956,77.5,68,100,5.84
373,Gat,IL,31.61,34.7642,73.78,100,0,2.42
374,Port Macquarie,AU,-31.4333,152.9167,62.89,66,0,7.31
375,Abu Kamal,SY,34.4506,40.9171,70.48,34,83,4.47
376,Utraula,IN,27.3167,82.4167,83.12,40,0,9.89
377,Thinadhoo,MV,0.5333,72.9333,82.26,69,67,13.67
378,Anderson,US,34.5334,-82.6499,59.92,67,100,12.66
379,Sioux Lookout,CA,50.1001,-91.917,26.67,80,100,4.61
380,Linxia,CN,35.6003,103.2064,56.77,49,49,7.14
381,Pacifica,US,37.6138,-122.4869,49.84,84,20,4.61
382,Tocopilla,CL,-22.092,-70.1979,62.62,68,5,5.75
383,Dingle,PH,10.9995,122.6711,80.46,86,100,7.87
384,Muli,MV,2.9167,73.5667,80.67,76,40,10.51
385,Zhigansk,RU,66.7697,123.3711,-1.62,96,100,16.91
386,Bom Jesus,BR,-9.0744,-44.3586,71.65,84,14,1.41
387,Colac,AU,-38.3333,143.5833,66.16,94,98,7.34
388,Fengrun,CN,39.8333,118.1167,55.29,76,68,6.6
389,Mahebourg,MU,-20.4081,57.7,81.25,61,40,9.22
390,Quimper,FR,48.0,-4.1,55.96,100,75,6.91
391,Vrangel,RU,42.7297,133.0839,45.39,46,0,7.02
392,Dawei,MM,14.0833,98.2,86.86,56,100,4.92
393,Port Augusta,AU,-32.5,137.7667,69.49,64,7,19.6
394,Constitucion,CL,-35.3333,-72.4167,51.13,91,54,5.82
395,El Rusio,HN,14.4667,-86.3667,62.35,98,25,2.95
396,Monsenhor Gil,BR,-5.5642,-42.6078,72.05,76,93,2.62
397,Bereda,ES,43.2686,-7.5406,59.41,100,74,2.21
398,Marienburg,PL,54.0359,19.0266,50.88,82,95,13.04
399,Seoul,KR,37.5683,126.9778,62.2,59,40,5.75
400,Mackay,AU,-21.15,149.2,73.69,66,57,15.52
401,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,95,5.75
402,Olafsvik,IS,64.8945,-23.7142,43.34,90,100,26.42
403,Necochea,AR,-38.5473,-58.7368,55.18,90,67,10.94
404,Meulaboh,ID,4.1363,96.1285,81.63,79,95,8.75
405,Westport,US,41.1415,-73.3579,44.74,85,0,1.99
406,Belyy Yar,RU,53.6039,91.3903,35.49,56,0,15.66
407,Lagos,NG,6.5833,3.75,80.92,66,71,3.09
408,Vallenar,CL,-28.5708,-70.7581,56.59,70,7,2.06
